core,name,baseline,mte
1,2mm,4.329509,4.346151
1,bicg,0.035472,0.041612
1,syr2k,3.766519,3.903901
1,gesummv,0.015078,0.019236
1,gemver,0.036044,0.037889
1,gemm,2.082692,2.295965
1,trmm,2.090456,1.878769
1,symm,2.970125,5.542311
1,syrk,1.554526,1.686616
1,fdtd-2d,3.911580,9.309477
1,jacobi-1d,0.003104,0.025034
1,adi,20.492926,28.491067
1,heat-3d,7.049413,20.556427
1,jacobi-2d,4.827847,27.300546
1,seidel-2d,52.293177,52.294652
1,nussinov,7.111483,6.803856
1,floyd-warshall,28.897944,31.826107
1,deriche,0.290280,0.451025
1,covariance,4.154011,4.480359
1,correlation,4.176350,4.194728
