buffer_size 32768
Pin to CPU 4
Pointer Chasing: 2970312 cycles.
Pointer Chasing: 2958872 cycles.
Pointer Chasing: 2973860 cycles.
Pointer Chasing: 2975797 cycles.
Pointer Chasing: 2962329 cycles.
Pointer Chasing: 3031665 cycles.
Pointer Chasing: 2966689 cycles.
Pointer Chasing: 2968463 cycles.
Pointer Chasing: 2976900 cycles.
Pointer Chasing: 2964012 cycles.
Pointer Chasing: 2966018 cycles.
Pointer Chasing: 2974980 cycles.
Pointer Chasing: 2996681 cycles.
Pointer Chasing: 2956628 cycles.
Pointer Chasing: 2972777 cycles.
Pointer Chasing: 3028680 cycles.
Pointer Chasing: 2964279 cycles.
Pointer Chasing: 2959725 cycles.
Pointer Chasing: 3021701 cycles.
Pointer Chasing: 2961270 cycles.
Pointer Chasing: 2962449 cycles.
Pointer Chasing: 3024366 cycles.
Pointer Chasing: 2961897 cycles.
Pointer Chasing: 2978363 cycles.
Pointer Chasing: 3039993 cycles.
Pointer Chasing: 2971682 cycles.
Pointer Chasing: 2959223 cycles.
Pointer Chasing: 2969995 cycles.
Pointer Chasing: 3011107 cycles.
Pointer Chasing: 2962940 cycles.
Pointer Chasing: 2971400 cycles.
Pointer Chasing: 3036084 cycles.
Pointer Chasing: 2972916 cycles.
Pointer Chasing: 2974725 cycles.
Pointer Chasing: 2981861 cycles.
Pointer Chasing: 2966069 cycles.
Pointer Chasing: 2968334 cycles.
Pointer Chasing: 3037919 cycles.
Pointer Chasing: 2961970 cycles.
Pointer Chasing: 2987445 cycles.
Pointer Chasing: 3039969 cycles.
Pointer Chasing: 2975419 cycles.
Pointer Chasing: 2970908 cycles.
Pointer Chasing: 3015026 cycles.
Pointer Chasing: 2971358 cycles.
Pointer Chasing: 2965351 cycles.
Pointer Chasing: 2975554 cycles.
Pointer Chasing: 2982263 cycles.
Pointer Chasing: 2970329 cycles.
Pointer Chasing: 2972321 cycles.
Pointer Chasing: 2990346 cycles.
Pointer Chasing: 2971802 cycles.
Pointer Chasing: 2963636 cycles.
Pointer Chasing: 2987726 cycles.
buffer_size 40960
Pin to CPU 4
lfsr_bit 25
Pointer Chasing: 3760709 cycles.
Pointer Chasing: 3925054 cycles.
Pointer Chasing: 3759924 cycles.
Pointer Chasing: 3847224 cycles.
Pointer Chasing: 3870604 cycles.
Pointer Chasing: 3755873 cycles.
Pointer Chasing: 3833958 cycles.
Pointer Chasing: 3760003 cycles.
Pointer Chasing: 3844190 cycles.
Pointer Chasing: 3760293 cycles.
Pointer Chasing: 3753384 cycles.
Pointer Chasing: 3813504 cycles.
Pointer Chasing: 3749032 cycles.
Pointer Chasing: 3909401 cycles.
Pointer Chasing: 3772741 cycles.
Pointer Chasing: 3972920 cycles.
Pointer Chasing: 3755172 cycles.
Pointer Chasing: 3752958 cycles.
Pointer Chasing: 3820198 cycles.
Pointer Chasing: 3750908 cycles.
Pointer Chasing: 3819731 cycles.
Pointer Chasing: 3828772 cycles.
Pointer Chasing: 3745036 cycles.
Pointer Chasing: 3855865 cycles.
Pointer Chasing: 3761272 cycles.
Pointer Chasing: 3824832 cycles.
Pointer Chasing: 3746935 cycles.
Pointer Chasing: 3840337 cycles.
Pointer Chasing: 3814074 cycles.
Pointer Chasing: 3754667 cycles.
Pointer Chasing: 3801134 cycles.
Pointer Chasing: 3742194 cycles.
Pointer Chasing: 3753193 cycles.
Pointer Chasing: 3834248 cycles.
Pointer Chasing: 3741105 cycles.
Pointer Chasing: 3818057 cycles.
Pointer Chasing: 3743365 cycles.
Pointer Chasing: 3751982 cycles.
Pointer Chasing: 3815075 cycles.
Pointer Chasing: 3746534 cycles.
Pointer Chasing: 3805907 cycles.
Pointer Chasing: 3754264 cycles.
Pointer Chasing: 3753655 cycles.
Pointer Chasing: 3835000 cycles.
Pointer Chasing: 3751480 cycles.
Pointer Chasing: 3802624 cycles.
Pointer Chasing: 3753374 cycles.
Pointer Chasing: 3759378 cycles.
Pointer Chasing: 3810434 cycles.
Pointer Chasing: 3753095 cycles.
Pointer Chasing: 3835732 cycles.
Pointer Chasing: 3759009 cycles.
Pointer Chasing: 3793889 cycles.
Pointer Chasing: 3813158 cycles.
Pointer Chasing: 3745538 cycles.
Pointer Chasing: 3808043 cycles.
Pointer Chasing: 3750929 cycles.
Pointer Chasing: 3765899 cycles.
Pointer Chasing: 3775610 cycles.
Pointer Chasing: 3740467 cycles.
Pointer Chasing: 3800489 cycles.
Pointer Chasing: 3753377 cycles.
Pointer Chasing: 3738918 cycles.
Pointer Chasing: 3821926 cycles.
Pointer Chasing: 3743399 cycles.
Pointer Chasing: 3811687 cycles.
Pointer Chasing: 3736974 cycles.
Pointer Chasing: 3751146 cycles.
Pointer Chasing: 3821195 cycles.
Pointer Chasing: 3743740 cycles.
Pointer Chasing: 3754563 cycles.
Pointer Chasing: 3755525 cycles.
Pointer Chasing: 3752904 cycles.
Pointer Chasing: 3779271 cycles.
Pointer Chasing: 3758654 cycles.
Pointer Chasing: 3808582 cycles.
Pointer Chasing: 3753469 cycles.
Pointer Chasing: 3751940 cycles.
Pointer Chasing: 3757974 cycles.
Pointer Chasing: 3760823 cycles.
Pointer Chasing: 3779227 cycles.
Pointer Chasing: 3748671 cycles.
Pointer Chasing: 3767225 cycles.
Pointer Chasing: 3766355 cycles.
Pointer Chasing: 3765345 cycles.
Pointer Chasing: 3764507 cycles.
Pointer Chasing: 3740848 cycles.
Pointer Chasing: 3753652 cycles.
Pointer Chasing: 3761286 cycles.
Pointer Chasing: 3745694 cycles.
Pointer Chasing: 3775265 cycles.
Pointer Chasing: 3751582 cycles.
Pointer Chasing: 3751129 cycles.
Pointer Chasing: 3758056 cycles.
Pointer Chasing: 3761140 cycles.
Pointer Chasing: 3768699 cycles.
Pointer Chasing: 3735974 cycles.
Pointer Chasing: 3743149 cycles.
Pointer Chasing: 3763869 cycles.
Pointer Chasing: 3742898 cycles.
Pointer Chasing: 3767681 cycles.
Pointer Chasing: 3758843 cycles.
Pointer Chasing: 3762764 cycles.
Pointer Chasing: 3762644 cycles.
Pointer Chasing: 3752197 cycles.
Pointer Chasing: 3770362 cycles.
Pointer Chasing: 3738065 cycles.
Pointer Chasing: 3754805 cycles.
Pointer Chasing: 3758603 cycles.
Pointer Chasing: 3746553 cycles.
Pointer Chasing: 3763398 cycles.
Pointer Chasing: 3745305 cycles.
Pointer Chasing: 3753837 cycles.
Pointer Chasing: 3786627 cycles.
Pointer Chasing: 3768266 cycles.
Pointer Chasing: 3754377 cycles.
Pointer Chasing: 3770268 cycles.
Pointer Chasing: 3746131 cycles.
Pointer Chasing: 3770631 cycles.
Pointer Chasing: 3751528 cycles.
Pointer Chasing: 3747615 cycles.
Pointer Chasing: 3768674 cycles.
Pointer Chasing: 3745647 cycles.
Pointer Chasing: 3838498 cycles.
Pointer Chasing: 3758035 cycles.
Pointer Chasing: 3759425 cycles.
Pointer Chasing: 3753803 cycles.
Pointer Chasing: 3752736 cycles.
Pointer Chasing: 3763486 cycles.
Pointer Chasing: 3751288 cycles.
Pointer Chasing: 3737957 cycles.
Pointer Chasing: 3763867 cycles.
Pointer Chasing: 3743788 cycles.
Pointer Chasing: 3748750 cycles.
Pointer Chasing: 3754654 cycles.
Pointer Chasing: 3751807 cycles.
Pointer Chasing: 3760220 cycles.
Pointer Chasing: 3751392 cycles.
Pointer Chasing: 3759892 cycles.
Pointer Chasing: 3743211 cycles.
Pointer Chasing: 3750709 cycles.
Pointer Chasing: 3766279 cycles.
Pointer Chasing: 3752641 cycles.
Pointer Chasing: 3764261 cycles.
Pointer Chasing: 3744721 cycles.
Pointer Chasing: 3736208 cycles.
Pointer Chasing: 3771004 cycles.
Pointer Chasing: 3749436 cycles.
Pointer Chasing: 3766423 cycles.
Pointer Chasing: 3762225 cycles.
Pointer Chasing: 3746117 cycles.
Pointer Chasing: 3756484 cycles.
Pointer Chasing: 3761545 cycles.
Pointer Chasing: 3784768 cycles.
Pointer Chasing: 3752292 cycles.
Pointer Chasing: 3733081 cycles.
Pointer Chasing: 3824477 cycles.
Pointer Chasing: 3754068 cycles.
Pointer Chasing: 3763220 cycles.
Pointer Chasing: 3754366 cycles.
